1.962	22.56958
1.9685	22.86869
1.975	23.17006
1.9815	23.47369
1.988	23.77956
1.9945	24.08769
2.001	24.39805
2.0075	24.71066
2.014	25.0255
2.0205	25.34256
2.027	25.66186
2.0335	25.98337
2.04	26.30709
2.0465	26.63303
2.053	26.96117
2.0595	27.2915
2.066	27.62403
2.0725	27.95874
2.079	28.29564
2.0855	28.6347
2.092	28.97593
2.0985	29.31933
2.105	29.66488
2.1115	30.01257
2.118	30.3624
2.1245	30.71437
2.131	31.06846
2.1375	31.42467
2.144	31.78298
2.1505	32.1434
2.157	32.50591
2.1635	32.87051
2.17	33.23719
2.1765	33.60593
2.183	33.97673
2.1895	34.34958
2.196	34.72449
2.2025	35.10142
2.209	35.48038
2.2155	35.86135
2.222	36.24433
2.2285	36.62931
2.235	37.01627
2.2415	37.40522
2.248	37.79613
2.2545	38.189
2.261	38.58382
2.2675	38.98057
2.274	39.37926
2.2805	39.77986
2.287	40.18237
2.2935	40.58678
2.3	40.99308
2.3065	41.40125
2.313	41.81128
2.3195	42.22317
2.326	42.6369
2.3325	43.05247
2.339	43.46985
2.3455	43.88904
2.352	44.31005
2.3585	44.73283
2.365	45.15738
2.3715	45.5837
2.378	46.01178
2.3845	46.44159
2.391	46.87313
2.3975	47.30639
2.404	47.74135
2.4105	48.17801
2.417	48.61635
2.4235	49.05635
2.43	49.49802
2.4365	49.94132
2.443	50.38626
2.4495	50.83282
2.456	51.28099
2.4625	51.73075
2.469	52.18209
2.4755	52.635
2.482	53.08947
2.4885	53.54548
2.495	54.00303
2.5015	54.46209
2.508	54.92266
2.5145	55.38472
2.521	55.84826
2.5275	56.31326
2.534	56.77972
2.5405	57.24762
2.547	57.71695
2.5535	58.1877
2.56	58.65984
2.5665	59.13337
2.573	59.60828
2.5795	60.08455
2.586	60.56216
2.5925	61.04112
2.599	61.52139
